Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Number_of_vehicles_involved
31-50,male,junior high school,owner,1-2yr,lorry,other,other,y shape,asphalt roads,darkness - lights lit,cloudy,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,3
31-50,male,junior high school,employee,1-2yr,lorry,church areas,two-way (divided with broken lines road marking),other,asphalt roads,darkness - lights lit,raining,collision with pedestrians,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
over 51,male,junior high school,employee,2-5yr,lorry,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,snow,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,3
31-50,unknown,junior high school,employee,2-5yr,lorry,office areas,double carriageway (median),y shape,asphalt roads,daylight,snow,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,3
over 51,male,junior high school,employee,2-5yr,car,office areas,double carriageway (median),crossing,asphalt roads,daylight,snow,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,3
18-30,male,junior high school,employee,2-5yr,mootorbike,office areas,double carriageway (median),crossing,asphalt roads,daylight,snow,collision with pedestrians,going straight,not a pedestrian,driving carelessly,Slight Injury,3
31-50,male,junior high school,employee,above 10yr,car,other,one way,no junction,gravel roads,daylight,snow,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,high school,employee,above 10yr,other,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - no lighting,snow,collision with pedestrians,going straight,crossing from offside - masked by  parked or stationot a pedestrianry vehicle,changing lane to the left,Slight Injury,2
over 51,male,elementary school,employee,1-2yr,other,office areas,double carriageway (median),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,turnover,not a pedestrian,moving backward,Slight Injury,2
over 51,male,junior high school,employee,2-5yr,car,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,"in carriageway, stationot a pedestrianry - not crossing  (standing or playing)",no distancing,Slight Injury,2
over 51,male,junior high school,employee,5-10yr,other,office areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
over 51,unknown,elementary school,owner,5-10yr,lorry,other,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,no distancing,Slight Injury,4
18-30,male,high school,other,above 10yr,bus,recreational areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,getting off,not a pedestrian,changing lane to the left,Slight Injury,4
18-30,male,junior high school,employee,2-5yr,lorry,church areas,double carriageway (median),no junction,asphalt roads,daylight,snow,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,lorry,residential areas,one way,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving to the left,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,other,one way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from offside - masked by  parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,bus,industrial areas,one way,y shape,asphalt roads,darkness - lights lit,cloudy,vehicle with vehicle collision,going straight,not a pedestrian,driving under the influence of drugs,Slight Injury,2
over 51,male,elementary school,employee,above 10yr,other,office areas,other,y shape,earth roads,darkness - lights lit,other,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
over 51,male,elementary school,employee,5-10yr,other,office areas,undivided two way,y shape,asphalt roads,darkness - lights lit,other,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,elementary school,employee,2-5yr,other,office areas,double carriageway (median),y shape,asphalt roads,darkness - lights lit,other,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,other,office areas,undivided two way,y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,driving under the influence of drugs,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,lorry,industrial areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,no priority to vehicle,Slight Injury,1
31-50,male,above high school,employee,5-10yr,lorry,other,two-way (divided with broken lines road marking),y shape,gravel roads,daylight,windy,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,other,one way,y shape,asphalt roads,daylight,windy,collision with pedestrians,going straight,unknown or other,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,lorry,other,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,1
18-30,male,junior high school,employee,unknown,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,above high school,owner,5-10yr,car,other,one way,crossing,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,moving backward,Serious Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,1
18-30,male,high school,employee,2-5yr,car,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,overturning,Slight Injury,2
18-30,unknown,junior high school,employee,below 1yr,other,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,unknown,owner,unknown,car,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,3
18-30,male,junior high school,employee,above 10yr,other,other,undivided two way,no junction,asphalt roads,darkness - no lighting,normal,vehicle with vehicle collision,going straight,not a pedestrian,overtaking,Slight Injury,2
18-30,male,junior high school,owner,above 10yr,other,office areas,unknown,no junction,asphalt roads,darkness - no lighting,normal,collision with roadside objects,going straight,not a pedestrian,driving under the influence of drugs,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,other,two-way (divided with broken lines road marking),y shape,other,daylight,normal,collision with roadside objects,moving backward,not a pedestrian,changing lane to the left,Slight Injury,1
31-50,male,junior high school,employee,below 1yr,car,industrial areas,undivided two way,no junction,other,darkness - lights lit,normal,collision with pedestrians,turnover,not a pedestrian,moving backward,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,other,undivided two way,crossing,asphalt roads,daylight,raining,vehicle with vehicle collision,turnover,not a pedestrian,moving backward,Slight Injury,2
31-50,male,above high school,employee,1-2yr,car,office areas,undivided two way,crossing,asphalt roads,daylight,raining,vehicle with vehicle collision,reversing,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,car,recreational areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,driving under the influence of drugs,Slight Injury,2
31-50,male,unknown,employee,5-10yr,other,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,changing lane to the right,Serious Injury,1
18-30,male,junior high school,employee,above 10yr,car,church areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,1
18-30,male,junior high school,employee,above 10yr,other,residential areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,3
31-50,male,junior high school,employee,2-5yr,lorry,other,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,3
over 51,male,junior high school,employee,below 1yr,lorry,office areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,3
18-30,male,junior high school,employee,below 1yr,lorry,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,bus,residential areas,other,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the left,Slight Injury,1
